"Depth
(m)","Level
(mPD)",Cum. Displacement Profile (mm),,
,,04 Sep 2015  (10:26),05 Sep 2015  (14:50),07 Sep 2015  (14:50)
,,Weekly,Weekly,Weekly
,,A,A,A
Any active construction work occurs within 75 m.,,,,
As-built Coordinates,,,,
0.00,7.720,,,
0.50,7.220,,,
1.00,6.720,,,
1.50,6.220,,,
2.00,5.720,,,
2.50,5.220,,,
3.00,4.720,,,
3.50,4.220,,,
4.00,3.720,,,
4.50,3.220,,,
5.00,2.720,0.00,0.00,0.00
5.50,2.220,-12.79,-10.93,-1.32
6.00,1.720,-21.92,-20.45,-1.21
6.50,1.220,-30.81,-29.67,-10.14
7.00,0.720,-39.13,-38.38,-18.54
7.50,0.220,-46.23,-45.81,-25.73
8.00,-0.280,-55.07,-54.98,-34.44
8.50,-0.780,-65.87,-66.30,-45.43
9.00,-1.280,-79.81,-80.75,-59.46
9.50,-1.780,-96.38,-98.16,-76.17
10.00,-2.280,-115.16,-117.31,-95.00
10.50,-2.780,-135.51,-137.85,-115.32
11.00,-3.280,-156.24,-159.06,-136.18
11.50,-3.780,-175.52,-178.55,-155.43
12.00,-4.280,-194.23,-197.49,-174.18
12.50,-4.780,-213.02,-216.56,-192.94
13.00,-5.280,-231.66,-235.51,-211.56
13.50,-5.780,-249.86,-253.89,-229.76
14.00,-6.280,-267.81,-272.08,-247.62
14.50,-6.780,-284.81,-289.19,-264.63
15.00,-7.280,-302.31,-306.90,-282.20
15.50,-7.780,-320.43,-325.22,-300.39
16.00,-8.280,-338.68,-343.66,-318.69
16.50,-8.780,-357.03,-362.23,-337.09
17.00,-9.280,-374.97,-380.38,-355.09
17.50,-9.780,-392.22,-397.85,-372.42
18.00,-10.280,-409.93,-415.98,-390.17
18.50,-10.780,-428.16,-434.51,-408.60
19.00,-11.280,-447.11,-453.57,-427.57
19.50,-11.780,-465.99,-472.63,-446.39
20.00,-12.280,-483.99,-490.93,-464.60
20.50,-12.780,-500.78,-507.88,-481.47
21.00,-13.280,-516.81,-524.15,-497.46
21.50,-13.780,-533.53,-540.85,-514.14
22.00,-14.280,-551.60,-558.97,-532.20
22.50,-14.780,-571.26,-578.78,-551.90
23.00,-15.280,-591.07,-598.66,-571.68
23.50,-15.780,-609.71,-617.29,-590.28
24.00,-16.280,-627.73,-635.41,-608.38
