"Depth
(m)","Level
(mPD)",Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,,,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,
,,04 Sep 2015  (10:26),05 Sep 2015  (14:50),07 Sep 2015  (14:50),09 Sep 2015  (03:21),11 Sep 2015  (10:28),11 Sep 2015  (10:33),16 Sep 2015  (03:40),9/22/2015,23 Sep 2015  (03:10),25 Sep 2015  (04:09),30 Sep 2015  (11:49),23 Oct 2015  (11:21),24 Oct 2015  (03:16),26 Oct 2015  (10:21),27 Oct 2015  (03:37),28 Oct 2015  (02:46),30 Oct 2015  (15:02),02 Nov 2015  (15:02),05 Nov 2015  (11:35),09 Nov 2015  (10:55),12 Nov 2015  (10:53),16 Nov 2015  (10:07),19 Nov 2015  (11:12),23 Nov 2015  (11:21),26 Nov 2015  (15:46),30 Nov 2015  (14:44),03 Dec 2015  (14:54),07 Dec 2015  (11:43),10 Dec 2015  (11:42),14 Dec 2015  (11:47),17 Dec 2015  (14:59),21 Dec 2015  (15:17),24 Dec 2015  (15:57),28 Dec 2015  (14:49),31 Dec 2015  (11:22),04 Jan 2016  (15:42),07 Jan 2016  (15:42),11 Jan 2016  (11:57),13 Jan 2016  (14:42),18 Jan 2016  (15:55),21 Jan 2016  (16:13),26 Jan 2016  (11:50),29 Jan 2016  (16:22),01 Feb 2016  (11:15),04 Feb 2016  (11:36),11 Feb 2016  (10:46),16 Feb 2016  (15:37),18 Feb 2016  (11:08),22 Feb 2016  (16:01),24 Feb 2016  (14:38),29 Feb 2016  (12:14),03 Mar 2016  (15:18),07 Mar 2016  (14:54),10 Mar 2016  (16:13),14 Mar 2016  (15:49),17 Mar 2016  (15:18),22 Mar 2016  (15:35),24 Mar 2016  (17:32),29 Mar 2016  (15:48),01 Apr 2016  (11:08),06 Apr 2016  (11:58),08 Apr 2016  (10:46),12 Apr 2016  (11:52),14 Apr 2016  (14:42),20 Apr 2016  (14:53),25 Apr 2016  (11:04),03 May 2016  (15:01),09 May 2016  (14:18),16 May 2016  (14:13),23 May 2016  (11:41),30 May 2016  (11:00),06 Jun 2016  (14:43),13 Jun 2016  (15:25),04 Dec 2016  (11:03),11 Dec 2016  (10:39),21 Dec 2016  (12:22),28 Dec 2016  (12:01),03 Jan 2017  (16:02),13 Jan 2017  (10:42),19 Jan 2017  (14:37),10 Jun 2017  (10:47),14 Jun 2017  (15:43),30 Jun 2017  (15:10),11 Jul 2017  (10:41),19 Jul 2017  (10:48),25 Jul 2017  (10:40),02 Aug 2017  (11:31),07 Aug 2017  (10:54),14 Aug 2017  (10:48),21 Aug 2017  (11:09),31 Aug 2017  (10:00),05 Sep 2017  (11:11)
,,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,+2.616 mPD,+2.616 mPD,+2.596 mPD,+2.596 mPD,+2.531 mPD,+2.493 mPD,+2.493 mPD,+2.480 mPD,+2.480 mPD,+2.460 mPD,+2.360 mPD,+2.448 mPD,+2.448 mPD,+2.427 mPD,+2.404 mPD,+3.855 mPD,+3.831 mPD,+3.800 mPD,+3.798 mPD,+3.777 mPD,+3.740 mPD,+3.740 mPD,+3.727 mPD,+3.705 mPD,+3.666 mPD,+3.666 mPD,+3.654 mPD,+3.654 mPD,+3.654 mPD,+3.654 mPD,+3.600 mPD,+3.619 mPD,+3.582 mPD,+3.582 mPD,+3.543 mPD,+3.525 mPD,+3.526 mPD,+3.519 mPD,+3.519 mPD,+3.517 mPD,+3.517 mPD,+3.418 mPD,+3.418 mPD,+3.476 mPD,+3.476 mPD,+3.456 mPD,+4.849 mPD,+4.867 mPD,+4.860 mPD,+4.785 mPD,+4.855 mPD,+4.810 mPD,+4.810 mPD,+4.810 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.817 mPD,+4.742 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD,+6.284 mPD
,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Any active construction work occurs within 75 m.,,,,,,,,,814030.618,814030.618,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting,Easting
As-built Coordinates,,,,,,,,,,,,,,,,,,,,,814030.535,814030.505,814030.524,814030.411,814030.359,814030.354,814030.308,814030.331,814030.326,814030.326,814030.27,814030.26,814030.231,814030.231,814030.183,814030.183,814030.183,814030.183,814030.202,814030.143,814030.183,814030.183,814030.144,814030.164,814030.124,814030.15,814030.15,814030.146,814030.146,814030.141,814030.141,814030.134,814030.134,814030.153,814030.146,814030.17,814030.185,814030.178,814030.171,814030.158,814030.158,814030.158,814030.148,814030.148,814030.148,814030.148,814030.148,814030.148,814030.148,814030.148,814030.148,814030.148,814030.148,814030.092,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329,814030.329
0.00,7.720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.41,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27,622.27
0.50,7.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.65,712.12,707.34,704.95,708.08,708.68,709.29,710.25,708.59,709.98,709.72,710.29,709.74,710.20,709.64,709.35,710.01,709.85,709.08
1.00,6.720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.44,801.90,793.98,790.27,795.45,796.76,797.62,798.93,796.52,798.94,798.13,799.60,798.43,799.53,798.85,798.37,799.15,799.23,797.82
1.50,6.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.12,891.38,883.03,878.95,884.35,885.73,886.94,888.42,885.77,890.25,885.45,890.28,889.06,890.03,887.39,886.67,889.53,889.84,887.80
2.00,5.720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.21,1129.29,1125.65,1106.05,1048.68,1128.96,1118.23,1118.23,1118.23,1106.35,1106.35,1106.35,1106.35,1106.35,1106.35,1106.35,1106.35,1106.35,1106.35,1106.35,1144.41,967.99,972.13,964.17,960.69,965.18,966.60,967.53,969.21,966.67,970.99,967.02,971.86,969.47,972.16,968.80,968.24,970.63,972.24,969.15
